index,title,type,description,genre,cast,creators
764,Ghost Lab,movie,"After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist.","[""Horror Movies"",""Thriller Movies"",""Thai""]","[""Alanta Potjes"",""Anchuleeon Buagaew"",""Chaleeda Gilbert"",""Jinjuta Rattanaburi"",""Nuttanicha Dungwattanawanich"",""Nuttawut Jenmana"",""Paris Intarakomalyasut"",""Rachanee Siralert"",""Suquan Bulakul"",""Thanapob Leeratanakachorn""]","[""Paween Purijitpanya""]"
765,Baggio: The Divine Ponytail,movie,"The story of Roberto Baggio, one of the best soccer players of all time, including his career highs, triumphs over injuries and discovery of Buddhism.","[""Movies Based on Real Life"",""Dramas"",""Italian""]","[""Andrea Arcangeli"",""Andrea Pennacchi"",""Anna Ferruzzo"",""Antonio Zavatteri"",""Marc Clotet"",""Martufello"",""Riccardo Goretti"",""Thomas Trabacchi"",""Valentina Bellè""]","[""Letizia Lamartire""]"
766,Gatao - The Last Stray,movie,Romance unexpectedly blossoms when a freelance photographer arrives late to her assignment at a full moon celebration thrown for a mob boss&#39;s newborn.,"[""Action & Adventure"",""Chinese Movies"",""Dramas"",""Crime Movies"",""Taiwanese""]","[""Alan Kuo"",""Alex Ko"",""Chang Zhang-xing"",""Cheng Jen-shuo"",""Gary Tang"",""Huang Shang-ho"",""Jack Kao"",""Justin Sheng"",""Lung Shao-hua"",""Nikki Hsieh"",""Panda Wu"",""Samuel Ku""]","[""Ray Jiang""]"
767,A Place in the Stars,movie,A young lawyer who has information about counterfeit drug trafficking in Nigeria must choose between betraying his conscience or revealing the truth.,"[""African Movies"",""Social Issue Dramas"",""Dramas"",""Thriller Movies"",""Nollywood""]","[""Amaka Mgbor"",""Dejumo Lewis"",""Femi Brach"",""Gideon Okeke"",""Ladi Alpha"",""Lantana Ahmed"",""Mathilda Obaseki"",""Patrick Otoro"",""Segun Arinze"",""Yemi Blaque""]","[""Steve Gukas""]"
768,Army of the Dead,movie,"After a zombie outbreak in Las Vegas, a group of mercenaries takes the ultimate gamble by venturing into the quarantine zone for the greatest heist ever.","[""Action & Adventure"",""Horror Films"",""Zombie Horror Films""]","[""Ana de la Reguera"",""Dave Bautista"",""Ella Purnell"",""Garret Dillahunt"",""Hiroyuki Sanada"",""Huma Qureshi"",""Matthias Schweighöfer"",""Michael Cassidy"",""Nora Arnezeder"",""Omari Hardwick"",""Raúl Castillo"",""Richard Cetrone"",""Samantha Win"",""Theo Rossi"",""Tig Notaro""]","[""Zack Snyder""]"
769,99 Songs,movie,"Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.","[""Bollywood Films"",""Dramas"",""Romantic Films"",""Indian Films"",""Musicals"",""Hindi-language Films""]","[""Diwakar Pundir"",""Edilsy Vargas"",""Ehan Bhat"",""Lisa Ray"",""Manisha Koirala"",""Neel Tyagi"",""Rahul Ram"",""Ranjit Barot"",""Tenzin Dalha"",""Warina Hussain""]","[""Vishwesh Krishnamoorthy""]"
770,Strain,movie,"When his son is diagnosed with sickle cell disease, a man and his family struggle to face a new reality as they rediscover their shared love.","[""African Movies"",""Dramas"",""Nollywood""]","[""Alex Usifo"",""Angel Unigwe"",""Aproko Doctor"",""Gloria Anozie-Young"",""Nifemi Lawal"",""Okey Uzoeshi"",""Shushu Abubakar""]","[""Uduak-Obong Patrick""]"
771,Asmaa,movie,"Constantly denied medical treatment, an HIV positive woman confronts societal stigma with unexpected courage. Inspired by true events.","[""Social Issue Dramas"",""Dramas"",""Middle-Eastern Films"",""Egyptian Movies""]","[""Ahmed Kamal"",""Boutros Ghaly"",""Fatmah Adel"",""Hany Adel"",""Hend Sabry"",""Laila Ezz El Arab"",""Maged El-Kidwani"",""Mohamad Yones"",""Mohamed Abd El Azim"",""Samia Asaad"",""Sayed Rajab""]","[""Amr Salama""]"
772,678,movie,"This film sheds light on sexual harassment in Egypt, following the lives of three women from different social classes who have been subjected to it.","[""Social Issue Dramas"",""Dramas"",""Middle-Eastern Films"",""Independent Films"",""Egyptian Movies""]","[""Ahmed El Fishawy"",""Bassem Samra"",""Boshra"",""Maged El-Kidwani"",""Marwa Mehran"",""Moataz Al-Demerdash"",""Nahed El Sebaï"",""Nelly Kariem"",""Omar El Saeed"",""Sawsan Badr""]","[""Mohamed Diab""]"
773,Little Singham Future mein Satakli,movie,"Little Singham and his crew travel to the year 2050 to rescue kids from the evil rule of Junglee Joker, who has forbidden them from laughter or play!","[""Children & Family Films"",""Comedies"",""Indian Films"",""Hindi-language Films""]","[""Anamaya Verma"",""Ganesh Divekar"",""Jigna Bharadhwaj"",""Saumya Daan"",""Sonal Kaushal"",""Sumriddhi Shukla""]","[""Prakash Satam""]"
774,Taxi No. 9211,movie,"When an arrogant scion hails his taxi, a cabbie in desperate need of money sees an opportunity that kicks off an intensely contentious 24-hour showdown.","[""Social Issue Dramas"",""Bollywood Films"",""Dramas"",""Thrillers"",""Indian Films"",""Hindi-language Films""]","[""John Abraham"",""Kurush Deboo"",""Nana Patekar"",""Nassar Abdulla"",""Sameera Reddy"",""Shivaji Satham"",""Smita Jaykar"",""Sonali Kulkarni""]","[""Milan Luthria""]"
